Total mappings: 1275

  98 | BCWG  |  1013245 |   0.004km | ns=1.000 | B18 Cinemas (Bhutani Cineplex) City Center GZB       <-> B18 Cinemas (Bhutani Cineplex) City Center GZB
  99 | NOVX  |  1037832 |   0.005km | ns=1.000 | Novaplex: Dhaulana                                   <-> Novaplex, Dhaulana
 100 | PVHM  |  1022280 |   0.005km | ns=1.000 | PVR ICON: Hitech, Madhapur, Hyderabad                <-> PVR ICON Hitech, Madhapur, Hyderabad
 101 | BTLR  |  1019402 |   0.005km | ns=1.000 | Biswa Talkies: Lakhimpur                             <-> Biswa Talkies, Lakhimpur, Assam
 102 | PMSR  |  1022269 |   0.005km | ns=1.000 | PVR: MSR Elements Mall, Tanisandhra Main Road        <-> PVR MSR Elements Mall, Tanisandhra Main Road, Bengaluru
 103 | NYBH  |  1032674 |   0.005km | ns=1.000 | Devgn CineX (Formerly NY): Bahadurgarh               <-> Devgn CineX (Formerly NY)  : Bahadurgarh
 104 | NYBW  |  1037573 |   0.005km | ns=1.000 | Devgn Cinex (Formerly NY): Banswara                  <-> Devgn Cinex (Formerly NY)  : Banswara
 105 | PVOO  |  1022299 |   0.005km | ns=1.000 | PVR: Orion Mall, Dr Rajkumar Road                    <-> PVR Orion Mall, Dr Rajkumar Road, Bengaluru
 106 | MIRN  |     3184 |   0.005km | ns=1.000 | Miraj Cinemas: NBC, Nandurbar                        <-> Miraj Cinemas : NBC, Nandurbar
 107 | GYBU  |  1020734 |   0.005km | ns=1.000 | INOX: Garuda Yelahanka, Bengaluru                    <-> INOX Garuda, Yelahanka, Bengaluru
 108 | MCIW  |  1038682 |   0.005km | ns=1.000 | Miraj Cinemas: IMAX, Wadala                          <-> Miraj Cinemas : IMAX, Wadala
 109 | SCJI  |  1102208 |   0.005km | ns=1.000 | SVF Cinemas: PRM Market City Mall, Jalpaiguri        <-> SVF Cinemas : PRM Market City Mall, Jalpaiguri
 110 | SFCR  |  1102203 |   0.005km | ns=1.000 | SVF Cinemas: Platina Mall, Howrah                    <-> SVF Cinemas : Platina Mall, Howrah
 111 | MCKP  |     1934 |   0.005km | ns=1.000 | Miraj Cinemas: Kundan Palace, Abohar                 <-> Miraj Cinemas : Kundan Palace, Abohar
 112 | RONO  |  1100720 |   0.005km | ns=1.000 | ROONGTA CINEMAS: ASJ Grand Plaza, Muzaffarnagar      <-> Roongta Cinema ASJ Grand Plaza, Muzaffarnagar
 113 | MCAZ  |  1074336 |   0.005km | ns=1.000 | Miraj Cinemas: Aakash, Azadpur                       <-> Miraj Cinemas : Aakash, Azadpur
 114 | IFRM  |  1029337 |   0.005km | ns=1.000 | INOX: Forum Rangoli Mall, Belur                      <-> INOX Forum Rangoli Mall, Belur, Howrah
 115 | IMCB  |  1088533 |   0.005km | ns=1.000 | INOX: M5 Ecity, Bengaluru                            <-> INOX M5 Ecity, Bengaluru
 116 | NYSA  |  1012145 |   0.005km | ns=1.000 | Devgn CineX (Formerly NY): Galleria Mall, Anand      <-> Devgn CineX (Formerly NY)  : Galleria Mall, Anand
 117 | PVUN  |  1023580 |   0.005km | ns=1.000 | PVR: Phoenix United, Bareilly                        <-> PVR Phoenix United, Phoenix United Mall, Bareilly
 118 | STOP  |  1058842 |   0.006km | ns=1.000 | Sheela Talkies: Dhampur                              <-> Sheela Talkies, Dhampur
